Postal Code,House Count
8300,2559
8400,1868
1000,1858
4000,1792
1180,1754
1050,1731
9000,1582
2000,1219
1070,1064
8370,966
8670,955
1030,940
1200,895
8800,893
5000,863
3000,849
2018,833
2300,833
9300,785
7500,753
7000,749
4020,736
8000,710
2100,702
8620,683
9600,681
2800,660
8430,649
8500,644
1190,635
3500,627
7700,620
1080,615
1040,606
1150,589
8660,571
9100,566
4100,565
9200,511
5100,508
2930,502
9800,497
2500,492
1060,470
9120,467
9700,466
1020,463
1420,453
1140,450
2060,443
2600,435
1160,422
7100,422
6700,409
3800,405
9500,402
2440,400
4800,392
2610,392
8790,387
8301,383
8420,383
1410,381
6000,381
8870,381
2830,371
1400,371
9940,363
1090,362
1300,349
1800,336
2400,333
1500,333
8530,329
9160,328
8200,325
5030,324
9400,323
1082,321
1480,318
2640,317
2170,317
3300,315
7090,311
4500,308
2140,308
2950,300
9620,300
8930,290
8310,287
8600,282
8550,278
9900,278
8434,271
2650,271
2970,270
8560,270
9890,268
8450,265
1700,261
2880,260
2900,260
9050,259
9140,259
1730,258
7800,257
2360,256
9550,256
9820,255
6900,255
2660,252
2870,252
2200,250
8540,241
8700,232
9170,227
9990,226
8770,223
2850,223
9230,223
4400,222
1830,222
8710,220
9220,220
9420,219
3200,215
2220,214
6940,214
4040,211
3080,210
2020,209
9280,209
9340,208
4430,207
8760,205
7060,205
9880,204
3700,204
3970,203
9450,203
2180,202
9470,200
4900,200
4420,200
1348,199
6600,198
2550,197
3001,196
8340,196
1350,196
3920,192
3600,192
6200,191
9080,191
4300,191
5590,190
1083,190
8820,188
2240,188
1210,185
4600,184
8900,184
5300,183
1325,183
3090,183
8570,182
9040,182
8630,180
9190,178
8210,177
8380,176
4460,176
9290,174
1170,173
8020,173
9051,173
8750,172
1600,171
6220,171
7130,171
1380,170
2490,170
7850,170
1930,169
2050,168
2520,168
5500,167
1745,167
7080,167
1470,166
2980,165
2350,162
3840,162
6001,161
1370,160
1081,160
5060,159
1840,158
2070,158
1640,158
2580,158
1950,157
8610,154
7340,154
4032,153
9320,151
4620,150
6800,150
3550,149
4030,147
5070,147
8501,147
6040,147
8520,147
5170,146
2260,145
6030,145
9240,145
1120,145
3740,145
1850,145
9255,144
1770,144
9150,143
3582,143
7170,143
2960,142
7730,142
2560,142
8830,141
3980,141
3020,141
9070,140
4920,140
8490,139
1780,139
7370,138
3150,137
8480,135
7110,133
2340,132
6060,132
8650,131
6180,131
8730,131
9032,130
3270,130
4031,129
1310,129
8510,128
6720,128
3580,127
2450,127
8460,126
5640,126
2890,126
9041,125
3140,124
2380,124
9850,124
8580,124
2530,123
4700,122
4870,121
1330,121
6724,120
2430,120
1390,120
6061,119
1785,118
6840,118
9060,117
3210,117
4280,117
9870,117
9810,116
8470,116
5580,115
2390,115
3010,114
1490,114
5660,114
3290,113
2480,113
5020,112
2820,112
9690,111
8970,111
8680,111
1731,110
2230,110
7134,110
2310,110
9260,109
2840,109
2940,109
